Id,Title,Name,Price,Image
824852063,Teenage Millionaire,Kadın,185 TL,https://cdn.dsmcdn.com/ty1318/product/media/images/prod/QC/20240517/11/7e099fb7-0bf1-3027-b51b-e101d5573e99/1_org.jpg
659811872,uyguntarz,Love Yourself,124 TL,https://cdn.dsmcdn.com/ty951/product/media/images/20230617/12/386401159/872444774/1/1_org.jpg
806408972,Evomind,Unisex Pamuk Bisiklet,"49,90 TL",https://cdn.dsmcdn.com/ty1170/product/media/images/prod/SPM/PIM/20240216/02/7176ed25-02ae-3193-bf8c-f3a2b31c2849/1_org.jpg
798196758,Calvin Klein,Bright White,"1.330,99 TL",https://cdn.dsmcdn.com/ty1331/product/media/images/prod/QC/20240517/09/f7e63ce7-a050-37e4-abb5-ceda2737488c/1_org.jpg
712251717,Askı Nişantaşı,Lacivert Kalp,168 TL,https://cdn.dsmcdn.com/ty1328/product/media/images/prod/QC/20240516/19/660bfcf0-9cad-396f-a7be-49eead3324e0/1_org.jpg
821818281,DUBU BUTİK,Siyah Oversize,"109,99 TL",https://cdn.dsmcdn.com/ty1255/product/media/images/prod/SPM/PIM/20240413/15/18283af7-9a96-38ac-99d8-e559b3016954/1_org.jpg
831498834,Seçkin Butik,First Chance,549 TL,https://cdn.dsmcdn.com/ty1323/product/media/images/prod/QC/20240522/22/18f990f7-d116-3fc9-85d7-705009a8eacd/1_org.jpg
766888197,Dilvin,30312 Dekoratif,"294,99 TL",https://cdn.dsmcdn.com/ty1330/product/media/images/prod/QC/20240517/00/37562531-5bb0-3eaa-917e-0b453becbd2d/1_org.jpg
806278793,blackbonds,Kadın Oversize,86 TL,https://cdn.dsmcdn.com/ty1170/product/media/images/prod/SPM/PIM/20240215/14/5de9d48b-2599-3438-bcff-334d4be326ca/1_org.jpg
828628625,GHAND,ÇİFTLERE ÖZEL ATEŞ ve,"499,90 TL",https://cdn.dsmcdn.com/ty1311/product/media/images/prod/SPM/PIM/20240513/12/55009ea0-2833-3b45-a51b-a0e7d1b4485c/1_org.jpg
803641435,RASCHA,Kadın Yeşil Çizgili NY,"329,90 TL",https://cdn.dsmcdn.com/ty1161/product/media/images/prod/SPM/PIM/20240206/14/5c704cff-0f9e-30df-b123-1b1a2073ebac/1_org.jpg
664185668,AFROGİYİM,Kadın Hey You Be,"114,80 TL",https://cdn.dsmcdn.com/ty766/product/media/images/20230306/11/297509114/878632040/1/1_org.jpg
809069363,Ltb,Logolu Siyah T-shırt,"279,99 TL",https://cdn.dsmcdn.com/ty1190/product/media/images/prod/SPM/PIM/20240302/04/406300bd-4491-3dd0-93ff-b37a72725a46/1_org.jpg
806448006,ÖZ PAMUK,Kadın 4'lü Adet,329 TL,https://cdn.dsmcdn.com/ty1171/product/media/images/prod/SPM/PIM/20240214/16/7a3933dd-96d5-30bd-b38a-c19659ac64af/1_org.jpg
801057655,AFROGİYİM,Unisex Minimalist,"82,25 TL",https://cdn.dsmcdn.com/ty1149/product/media/images/prod/SPM/PIM/20240129/10/0a024105-6984-3378-b4a8-40a681127376/1_org.jpg
832099132,TRENDKOLİK,Trend Selection -,124 TL,https://cdn.dsmcdn.com/ty1331/product/media/images/prod/QC/20240525/15/4d64abcc-5b30-37c0-984e-47d1a693ccd5/1_org.jpg
721143740,MODAGEN,Kadın Oversize Crop,229 TL,https://cdn.dsmcdn.com/ty906/product/media/images/20230525/13/360241805/949858007/1/1_org.jpg
800846252,BW Bravely Wear,Çiçek Baskılı,124 TL,https://cdn.dsmcdn.com/ty1161/product/media/images/prod/SPM/PIM/20240206/15/8d7802b4-ed64-3600-8a0f-151c794acad5/1_org.jpg
830470456,Teenage Millionaire,Kadın,"124,90 TL",https://cdn.dsmcdn.com/ty1321/product/media/images/prod/QC/20240520/09/33f063c1-da6f-364a-bbfc-a456965ef2f8/1_org.jpg
691996622,Madmext,Füme Bisiklet Yaka,"199,90 TL",https://cdn.dsmcdn.com/ty1019/product/media/images/prod/SPM/PIM/20231019/01/c2939bf7-dac3-3faf-8679-6c3ede8011fe/1_org.jpg
813322205,khufu,Oversize Beyaz Choose,240 TL,https://cdn.dsmcdn.com/ty1202/product/media/images/prod/SPM/PIM/20240310/20/2821883f-09a9-368d-b5fa-df8b819d9d10/1_org.jpg
83713116,Under Armour,Live Sportstyle,"154,98 TL",https://cdn.dsmcdn.com/ty70/product/media/images/20210216/15/63343635/140928535/1/1_org.jpg
96491768,Genel Markalar,Kadın Siyah Ve,520 TL,https://cdn.dsmcdn.com/ty1328/product/media/images/prod/QC/20240522/20/714bf563-550b-37e0-9f9d-42f2fc06903c/1_org.jpg
219038730,Defacto,Oversize Fit Bisiklet,159 TL,https://cdn.dsmcdn.com/ty1316/product/media/images/prod/QC/20240516/15/73fa9ddd-5dd9-3f39-913b-be5d72f3fbc4/1_org.jpg
824852063,Teenage Millionaire,Kadın,"79,50 TL",https://cdn.dsmcdn.com/ty1318/product/media/images/prod/QC/20240517/11/7e099fb7-0bf1-3027-b51b-e101d5573e99/1_org.jpg
806161208,CLAYES,Leisure Future Parçalı,"249,99 TL",https://cdn.dsmcdn.com/ty1171/product/media/images/prod/SPM/PIM/20240215/09/c47f5e10-1a64-3f57-af36-6ac1d8c00e40/1_org.jpg
825473122,Dilvin,30584 Bisiklet Yaka,185 TL,https://cdn.dsmcdn.com/ty1330/product/media/images/prod/QC/20240521/11/977e701f-5f17-399f-8464-88dbe3af175b/1_org.jpg
798196758,Calvin Klein,Bright White,"123,74 TL",https://cdn.dsmcdn.com/ty1331/product/media/images/prod/QC/20240517/09/f7e63ce7-a050-37e4-abb5-ceda2737488c/1_org.jpg
827561571,blackbonds,Beyaz Vintage,"329,99 TL",https://cdn.dsmcdn.com/ty1302/product/media/images/prod/SPM/PIM/20240508/15/4a8e2f1c-35b3-3a57-a73a-ec465386a83b/1_org.jpg
812319015,LYX,Unisex Bisiklet Yaka,"1.330,99 TL",https://cdn.dsmcdn.com/ty1197/product/media/images/prod/SPM/PIM/20240307/13/4a76858b-4593-3ae7-b9da-c672196e0587/1_org.jpg
831498834,Seçkin Butik,First Chance,89 TL,https://cdn.dsmcdn.com/ty1323/product/media/images/prod/QC/20240522/22/18f990f7-d116-3fc9-85d7-705009a8eacd/1_org.jpg
284940903,JAKARLI,Unisex Yeşil Bisiklet,124 TL,https://cdn.dsmcdn.com/ty1329/product/media/images/prod/QC/20240525/09/c4eb63c2-96f3-36ca-91e1-abd4d7d96147/1_org.jpg
682407743,MODAGEN,Unisex Brooklyn,"379,90 TL",https://cdn.dsmcdn.com/ty810/product/media/images/20230403/18/317703228/903090451/1/1_org.jpg
828628625,GHAND,ÇİFTLERE ÖZEL ATEŞ ve,"126,63 TL",https://cdn.dsmcdn.com/ty1311/product/media/images/prod/SPM/PIM/20240513/12/55009ea0-2833-3b45-a51b-a0e7d1b4485c/1_org.jpg
